全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
122033,,市川市,八幡地域ふれあい館,ﾔﾜﾀﾁｲｷﾌﾚｱｲｶﾝ,,,,千葉県市川市八幡1丁目21-10,千葉県,市川市,八幡1丁目,10月21日,,35.71886181,139.9323711,,,玄関正面,(047)332-5538,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,勤労福祉ｾﾝﾀ-分館,ｷﾝﾛｳﾌｸｼｾﾝﾀ-ﾌﾞﾝｶﾝ,,,,千葉県市川市南八幡5丁目20-3,千葉県,市川市,南八幡5丁目,3月20日,,35.71883625,139.9211129,,,玄関,(047)370-1357,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,第八中学校,ﾀﾞｲﾊﾁﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市大和田4丁目9-1,千葉県,市川市,大和田4丁目,9月1日,,35.71914786,139.9149047,,,保健室前,(047)370-1394,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市消防局,ｲﾁｶﾜｼｼｮｳﾎﾞｳｷｮｸ,,,,千葉県市川市八幡1丁目8-1,千葉県,市川市,八幡1丁目,8月1日,,35.71942036,139.9347577,,,3階執務室,(047)333-2111,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市東消防署,ｲﾁｶﾜｼﾋｶﾞｼｼｮｳﾎﾞｳｼｮ,,,,千葉県市川市八幡1丁目8-1,千葉県,市川市,八幡1丁目,8月1日,,35.71949296,139.9346375,,,1階受付,(047)334-0119,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,いきいきｾﾝﾀ-鬼越,ｲｷｲｷｾﾝﾀ-ｵﾆｺﾞｴ,,,,千葉県市川市鬼越1丁目25-3,千葉県,市川市,鬼越1丁目,3月25日,,35.72028446,139.938658,,,1階廊下,(047)335-5779,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,いちかわ情報ﾌﾟﾗｻﾞ,ｲﾁｶﾜｼﾞｮｳﾎｳﾌﾟﾗｻﾞ,,,,千葉県市川市南八幡4丁目2-5-201,千葉県,市川市,南八幡4丁目,2-5-201,,35.7205862,139.9265163,,,2階総務課統計班入口,(047)318-9188,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,大洲幼稚園,ｵｵｽﾖｳﾁｴﾝ,,,,千葉県市川市大洲4丁目3-12,千葉県,市川市,大洲4丁目,3月12日,,35.72102304,139.9096416,,,職員玄関,(047)370-3648,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,大洲中学校,ｵｵｽﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市大洲4丁目21-5,千葉県,市川市,大洲4丁目,5月21日,,35.72134386,139.9077712,,,事務室前,(047)378-5783,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,中山小学校,ﾅｶﾔﾏｼｮｳｶﾞｯｺｳ,,,,千葉県市川市中山1丁目1-5,千葉県,市川市,中山1丁目,1月5日,,35.72151493,139.9438959,,,事務室前廊下,(047)335-2711,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市役所第二庁舎,ｼﾔｸｼｮﾀﾞｲﾆﾁｮｳｼｬ,,,,千葉県市川市南八幡2丁目20-2,千葉県,市川市,南八幡2丁目,2月20日,,35.7136079,139.9280099,,,総合受付横,(047)712-8647,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,第四中学校,ﾀﾞｲﾖﾝﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市中山1丁目11-1,千葉県,市川市,中山1丁目,11月1日,,35.72202753,139.9458313,,,1階情報ｺ-ﾅ-,(047)335-3431,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,本八幡地域ふれあい館,ﾓﾄﾔﾜﾀﾁｲｷﾌﾚｱｲｶﾝ,,,,千葉県市川市八幡3丁目7-9,千葉県,市川市,八幡3丁目,7月9日,,35.72208414,139.9245948,,,玄関正面,(047)326-2452,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市分庁舎C棟（地域共生課）,ｲﾁｶﾜｼﾌﾞﾝﾁｮｳｼｬｼｰﾄｳ,,,,千葉県市川市東大和田1丁目2-10,千葉県,市川市,東大和田1丁目,2月10日,,35.71407165,139.9268921,,,２階通路左手事務室,(047)383-9568,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,若宮公民館,ﾜｶﾐﾔｺｳﾐﾝｶﾝ,,,,千葉県市川市若宮2丁目15-8,千葉県,市川市,若宮2丁目,8月15日,,35.72246126,139.9557345,,,玄関ロビー,(047)336-7958,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,東山魁夷記念館,ﾋｶﾞｼﾔﾏｶｲｲｷﾈﾝｶﾝ,,,,千葉県市川市中山1丁目16-2,千葉県,市川市,中山1丁目,2月16日,,35.7228525,139.9464463,,,階段踊り場,(047)333-2011,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,新田保育園,ｼﾝﾃﾞﾝﾎｲｸｴﾝ,,,,千葉県市川市新田3丁目21-1,千葉県,市川市,新田3丁目,1月21日,,35.72355146,139.9118523,,,玄関,(047)370-4557,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,八幡市民会館(全日警ﾎｰﾙ),ﾔﾜﾀｼﾐﾝｶｲｶﾝ(ｾﾞﾝﾆｯｹｲﾎｰﾙ),,,,千葉県市川市八幡4丁目2-1,千葉県,市川市,八幡4丁目,2月1日,,35.72410552,139.9307588,,,1階正面玄関脇、エレベーター前,(047)300-8020,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,大洲小学校,ｵｵｽｼｮｳｶﾞｯｺｳ,,,,千葉県市川市大洲4丁目18-1,千葉県,市川市,大洲4丁目,1月18日,,35.72346079,139.9068888,,,保健室前,(047)370-0300,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,平田小学校,ﾋﾗﾀｼｮｳｶﾞｯｺｳ,,,,千葉県市川市平田3丁目28-1,千葉県,市川市,平田3丁目,1月28日,,35.72422237,139.9181703,,,保健室脇,(047)379-6761,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,若宮保育園,ﾜｶﾐﾔﾎｲｸｴﾝ,,,,千葉県市川市若宮3丁目7-6,千葉県,市川市,若宮3丁目,7月6日,,35.7242771,139.951727,,,玄関,(047)334-2115,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市東消防署中山出張所,ｲﾁｶﾜｼﾋｶﾞｼｼｮｳﾎﾞｳｼｮﾅｶﾔﾏｼｭｯﾁｮｳｼﾞｮ,,,,千葉県市川市北方3丁目10-11,千葉県,市川市,北方3丁目,10月11日,,35.72442533,139.9476466,,,1階受付,(047)332-0119,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,平田図書室,ﾋﾗﾀﾄｼｮｼﾂ,,,,千葉県市川市平田1丁目20-16,千葉県,市川市,平田1丁目,20-16,,35.72466999,139.9196381,,,貸出カウンター内,(047)321-2243,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,平田保育園,ﾋﾗﾀﾎｲｸｴﾝ,,,,千葉県市川市平田1丁目20-16,千葉県,市川市,平田1丁目,20-16,,35.72475118,139.919499,,,玄関,(047)324-1311,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,平田地域ふれあい館,ﾋﾗﾀﾁｲｷﾌﾚｱｲｶﾝ,,,,千葉県市川市平田2丁目16-7,千葉県,市川市,平田2丁目,7月16日,,35.72481459,139.918123,,,玄関正面,(047)322-4467,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,新田第2保育園,ｼﾝﾃﾞﾝﾀﾞｲﾆﾎｲｸｴﾝ,,,,千葉県市川市新田2丁目1-24,千葉県,市川市,新田2丁目,1月24日,,35.72529652,139.9163785,,,玄関,(047)376-9036,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,いきいきｾﾝﾀ-北方,ｲｷｲｷｾﾝﾀ-ｷﾀｶﾀ,,,,千葉県市川市北方2丁目29-19,千葉県,市川市,北方2丁目,29-19,,35.72540444,139.9410554,,,1階受付正面,(047)332-3846,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,八幡小学校,ﾔﾜﾀｼｮｳｶﾞｯｺｳ,,,,千葉県市川市八幡3丁目24-1,千葉県,市川市,八幡3丁目,1月24日,,35.72568684,139.9280701,,,校長室前,(047)325-4763,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,若宮小学校,ﾜｶﾐﾔｼｮｳｶﾞｯｺｳ,,,,千葉県市川市若宮3丁目54-10,千葉県,市川市,若宮3丁目,Oct-54,,35.7267139,139.9523055,,,職員室前,(047)339-2177,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,宮田小学校,ﾐﾔﾀｼｮｳｶﾞｯｺｳ,,,,千葉県市川市新田4丁目8-15,千葉県,市川市,新田4丁目,8月15日,,35.72689568,139.9093288,,,保健室前,(047)379-7647,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,冨貴島小学校,ﾌｷｼﾏｼｮｳｶﾞｯｺｳ,,,,千葉県市川市八幡6丁目10-11,千葉県,市川市,八幡6丁目,10月11日,,35.72698583,139.9377577,,,職員室前,(047)334-2624,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,宮田地域ふれあい館,ﾐﾔﾀﾁｲｷﾌﾚｱｲｶﾝ,,,,千葉県市川市新田5丁目16-6,千葉県,市川市,新田5丁目,6月16日,,35.72760198,139.9111636,,,玄関正面,(047)324-4525,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川駅行政ｻ-ﾋﾞｽｾﾝﾀ-,ｲﾁｶﾜｴｷｷﾞｮｳｾｲｻ-ﾋﾞｽｾﾝﾀ-,,,,千葉県市川市市川南1丁目1-1 ,千葉県,市川市,市川南1丁目,1月1日,I-LINKﾀｳﾝいちかわｻﾞ･ﾀﾜ-ｽﾞｲ-ｽﾄ3階,35.72853397,139.9080647,,,待合ロビー,(047)704-3115,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,富貴島保育園,ﾌｷｼﾏﾎｲｸｴﾝ,,,,千葉県市川市八幡6丁目14-19,千葉県,市川市,八幡6丁目,14-19,,35.72849004,139.9355638,,,玄関,(047)336-1144,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,東部公民館,ﾄｳﾌﾞｺｳﾐﾝｶﾝ,,,,千葉県市川市本北方3丁目19-16,千葉県,市川市,本北方3丁目,19-16,,35.72880397,139.9508134,,,玄関受付横,(047)337-8886,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川駅南口図書館,ｲﾁｶﾜｴｷﾐﾅﾐｸﾞﾁﾄｼｮｶﾝ,,,,千葉県市川市市川南1丁目10-1,千葉県,市川市,市川南1丁目,10月1日,I-LINKﾀｳﾝいちかわｻﾞ・ﾀﾜ-ｽﾞｳｴｽﾄ3階,35.7291751,139.9062854,,,図書館入口右側,(047)325-6241,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市ｱｲ・ﾘﾝｸﾀｳﾝ展望施設,ｲﾁｶﾜｼｱｲ・ﾘﾝｸﾀﾜ-ﾃﾝﾎﾞｳｼｾﾂ,,,,千葉県市川市市川南1丁目10-1,千葉県,市川市,市川南1丁目,10月1日,I-LINKﾀｳﾝいちかわｻﾞ･ﾀﾜ-ｽﾞｳｴｽﾄ45階,35.72913959,139.9058612,,,交流ラウンジ,(047)322-9300,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,男女共同参画ｾﾝﾀ- ｳィｽﾞ,ﾀﾞﾝｼﾞｮｷｮｳﾄﾞｳｻﾝｶｸｾﾝﾀ-ｳｨｽﾞ,,,,千葉県市川市市川1丁目24-2,千葉県,市川市,市川1丁目,2月24日,,35.73002786,139.9104011,,,4階窓口前,(047)322-6700,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市西消防署,ｲﾁｶﾜｼﾆｼﾞｼｼｮｳﾎﾞｳｼｮ,,,,千葉県市川市市川1丁目24-2,千葉県,市川市,市川1丁目,2月24日,,35.73018022,139.9104639,,,1階受付,(047)323-0119,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,本北方保育園,ﾓﾄｷﾀｶﾀﾎｲｸｴﾝ,,,,千葉県市川市本北方2丁目40-23,千葉県,市川市,本北方2丁目,40-23,,35.73020193,139.9501907,,,玄関,(047)338-5982,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川地域ふれあい館,ｲﾁｶﾜﾁｲｷﾌﾚｱｲｶﾝ,,,,千葉県市川市市川2丁目7-7,千葉県,市川市,市川2丁目,7月7日,,35.7309667,139.9035244,,,玄関正面,(047)322-7710,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川公民館,ｲﾁｶﾜｺｳﾐﾝｶﾝ,,,,千葉県市川市市川2丁目33-2,千葉県,市川市,市川2丁目,Feb-33,,35.73106183,139.9065932,,,玄関ホール脇事務室,(047)321-1171,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,いきいきｾﾝﾀ-市川,ｲｷｲｷｾﾝﾀ-ｲﾁｶﾜ,,,,千葉県市川市市川2丁目33-6,千葉県,市川市,市川2丁目,Jun-33,,35.73149492,139.9060328,,,3階廊下,(047)322-2277,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川小学校,ｲﾁｶﾜｼｮｳｶﾞｯｺｳ,,,,千葉県市川市市川2丁目32-5,千葉県,市川市,市川2丁目,May-32,,35.73215889,139.9052769,,,校長室前,(047)325-4758,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,北方小学校,ｷﾀｶﾀｼｮｳｶﾞｯｺｳ,,,,千葉県市川市北方町4丁目1356-1,千葉県,市川市,北方町4丁目,1356-1,,35.73245879,139.9453395,,,職員玄関横,(047)339-1701,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,菅野公民館,ｽｶﾞﾉｺｳﾐﾝｶﾝ,,,,千葉県市川市菅野3丁目24-2,千葉県,市川市,菅野3丁目,2月24日,,35.73263233,139.9168627,,,事務室横,(047)322-7761,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,菅野保育園,ｽｶﾞﾉﾎｲｸｴﾝ,,,,千葉県市川市菅野4丁目12-16,千葉県,市川市,菅野4丁目,12月16日,,35.73290944,139.9272147,,,事務室,(047)326-4452,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,菅野小学校,ｽｶﾞﾉｼｮｳｶﾞｯｺｳ,,,,千葉県市川市菅野6丁目14-1,千葉県,市川市,菅野6丁目,1月14日,,35.73428494,139.9166006,,,校長室前,(047)324-5955,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,大柏川第一調節池緑地,ｵｵｶﾞｼﾜｶﾞﾜﾀﾞｲｲﾁﾁｮｳｾﾂﾁﾘｮｸﾁ,,,,千葉県市川市北方町4丁目1444-59,千葉県,市川市,北方町4丁目,1444-59,,35.73600801,139.9512743,,,事務室前,(047)337-7111,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市市民ﾌﾟ-ﾙ,ｲﾁｶﾜｼｼﾐﾝﾌﾟ-ﾙ,,,,千葉県市川市北方町4丁目2270-3,千葉県,市川市,北方町4丁目,Mar-70,,35.73503797,139.9534251,,,医務室,(047)338-7346,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,菅野終末処理場,ｽｶﾞﾉｼｭｳﾏﾂｼｮﾘｼﾞｮｳ,,,,千葉県市川市東菅野2丁目23-1,千葉県,市川市,東菅野2丁目,1月23日,,35.73558081,139.9278407,,,2階入口,(047)325-0144,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,宮久保小学校,ﾐﾔｸﾎﾞｼｮｳｶﾞｯｺｳ,,,,千葉県市川市宮久保5丁目7-1,千葉県,市川市,宮久保5丁目,7月1日,,35.73668167,139.9440741,,,職員室前,(047)371-2747,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,いきいきｾﾝﾀ-宮久保,ｲｷｲｷｾﾝﾀ-ﾐﾔｸﾎﾞ,,,,千葉県市川市宮久保4丁目2-4,千葉県,市川市,宮久保4丁目,2月4日,,35.73696561,139.9361213,,,1階玄関正面,(047)372-5755,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,真間小学校,ﾏﾏｼｮｳｶﾞｯｺｳ,,,,千葉県市川市真間4丁目1-1,千葉県,市川市,真間4丁目,1月1日,,35.73775801,139.9102676,,,第4昇降口,(047)372-4726,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,須和田の丘特別支援学校,ｽﾜﾀﾞﾉｵｶﾄｸﾍﾞﾂｼｴﾝｶﾞｯｺｳ,,,,千葉県市川市須和田2丁目34-1,千葉県,市川市,須和田2丁目,Jan-34,,35.73816268,139.9134253,,,1階保健室横,(047)371-2258,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,第二中学校,ﾀﾞｲﾆﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市須和田2丁目34-1,千葉県,市川市,須和田2丁目,Jan-34,,35.73922357,139.9141234,,,玄関内,(047)371-6188,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,柏井小学校,ｶｼﾜｲｼｮｳｶﾞｯｺｳ,,,,千葉県市川市柏井町1丁目1149-1,千葉県,市川市,柏井町1丁目,1149-1,,35.73942802,139.9663513,,,職員室前,(047)337-8877,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,下貝塚中学校,ｼﾓｶｲﾂﾞｶﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市下貝塚3丁目13-1,千葉県,市川市,下貝塚3丁目,1月13日,,35.73966566,139.945743,,,職員室前,(047)371-8800,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,木内ｷﾞャﾗﾘ-,ｷｳﾁｷﾞｬﾗﾘ-,,,,千葉県市川市真間4丁目11-4,千葉県,市川市,真間4丁目,11月4日,,35.73997441,139.9054813,,,事務室前,(047)371-4916,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,芳澤ｶﾞ-ﾃﾞﾝｷﾞャﾗﾘ-,ﾖｼｻﾞﾜｶﾞ-ﾃﾞﾝｷﾞｬﾗﾘ-,,,,千葉県市川市真間5丁目1-18,千葉県,市川市,真間5丁目,1月18日,,35.73981305,139.9114255,,,事務所前,(047)374-7687,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,百合台小学校,ﾕﾘﾀﾞｲｼｮｳｶﾞｯｺｳ,,,,千葉県市川市曽谷6丁目10-1,千葉県,市川市,曽谷6丁目,10月1日,,35.74035838,139.9252955,,,職員室前,(047)374-1811,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,第三中学校,ﾀﾞｲｻﾝﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市曽谷3丁目2-1,千葉県,市川市,曽谷3丁目,2月1日,,35.74037382,139.9327453,,,玄関,(047)371-7341,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,百合台幼稚園,ﾕﾘﾀﾞｲﾖｳﾁｴﾝ,,,,千葉県市川市曽谷6丁目10-1,千葉県,市川市,曽谷6丁目,10月1日,,35.74035838,139.9252955,,,職員玄関,(047)373-8937,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,郭沫若記念館,ｶｸﾏﾂｼﾞｬｸｷﾈﾝｶﾝ,,,,千葉県市川市真間5丁目3-19,千葉県,市川市,真間5丁目,3月19日,,35.74108743,139.9126613,,,事務室内,(047)372-5400,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,大野小学校,ｵｵﾉｼｮｳｶﾞｯｺｳ,,,,千葉県市川市南大野1丁目42-1,千葉県,市川市,南大野1丁目,Jan-42,,35.74233965,139.9505695,,,職員玄関,(047)338-3000,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,国府台市民体育館,ｺｳﾉﾀﾞｲｼﾐﾝﾀｲｸｶﾝ,,,,千葉県市川市国府台1丁目6-4,千葉県,市川市,国府台1丁目,6月4日,,35.74310837,139.9074541,,,1階ﾛﾋﾞ-,(047)373-3112,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,大野保育園,ｵｵﾉﾎｲｸｴﾝ,,,,千葉県市川市南大野2丁目4-5,千葉県,市川市,南大野2丁目,4月5日,,35.74289594,139.9530272,,,玄関ホール,(047)337-4551,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,曽谷公民館,ｿﾔｺｳﾐﾝｶﾝ,,,,千葉県市川市曽谷6丁目25-5,千葉県,市川市,曽谷6丁目,5月25日,,35.74364645,139.9273814,,,玄関ロビー,(047)372-2871,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,奉免地域ふれあい館,ﾎｳﾒﾁｲｷﾌﾚｱｲｶﾝ,,,,千葉県市川市柏井町2丁目49-6,千葉県,市川市,柏井町2丁目,Jun-49,,35.74420344,139.9587862,,,玄関正面,(047)338-5407,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市西消防署国府台出張所,ｲﾁｶﾜｼﾆｼﾞｼｼｮｳﾎﾞｳｼｮｺｳﾉﾀﾞｲｼｭｯﾁｮｳｼﾞｮ,,,,千葉県市川市国府台1丁目6-8,千葉県,市川市,国府台1丁目,6月8日,,35.74438916,139.9054886,,,1階受付,(047)372-0119,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,第一中学校,ﾀﾞｲｲﾁﾁｭｳｶﾞｯｺｳ,,,,千葉県市川市国府台2丁目7-1,千葉県,市川市,国府台2丁目,7月1日,,35.74479382,139.9019905,,,職員室前,(047)371-6045,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,国分小学校,ｺｸﾌﾞﾝｼｮｳｶﾞｯｺｳ,,,,千葉県市川市東国分2丁目4-1,千葉県,市川市,東国分2丁目,4月1日,,35.74488457,139.9208839,,,職員玄関,(047)371-6793,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,市川市北消防署曽谷出張所,ｲﾁｶﾜｼｷﾀｼｮｳﾎﾞｳｼｮｿﾔｼｭｯﾁｮｳｼﾞｮ,,,,千葉県市川市曽谷2丁目7-2,千葉県,市川市,曽谷2丁目,7月2日,,35.74517193,139.9357402,,,1階受付,(047)374-0119,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,大柏出張所（大野公民館）,ｵｵｶﾞｼﾜｼｭｯﾁｮｳｼｮ,,,,千葉県市川市南大野2丁目3-19,千葉県,市川市,南大野2丁目,3月19日,,35.74519914,139.9531863,,,2階公民館事務室前,(047)339-1111,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,いちかわ市民ｷャﾝﾌﾟ場,ｲﾁｶﾜｼﾐﾝｷｬﾝﾌﾟｼﾞｮｳ,,,,千葉県市川市柏井町2丁目992-1,千葉県,市川市,柏井町2丁目,992-1,,35.74437545,139.9737677,,,管理棟内,(047)337-9802,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,柏井公民館,ｶｼﾜｲｺｳﾐﾝｶﾝ,,,,千葉県市川市柏井町2丁目844,千葉県,市川市,柏井町2丁目,844,,35.74600643,139.965418,,,事務室入口横,(047)338-2988,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
122033,,市川市,里見公園,ｻﾄﾐｺｳｴﾝ,,,,千葉県市川市国府台3丁目9,千葉県,市川市,国府台3丁目,9,,35.74665104,139.8999283,,,事務所内,(047)372-0062,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/pub01/1211000002.html,,,,,,
